Wavelength,Flux,BestFit,SkyFlux
3801.019,17.689,9.098,8.018
3801.893,13.170,9.447,8.050
3802.770,8.652,9.454,8.016
3803.645,8.128,8.834,7.875
3804.522,11.072,9.003,7.856
3805.397,7.129,9.001,7.940
3806.273,15.442,9.109,8.159
3807.150,22.739,9.313,8.419
3808.026,20.657,9.198,8.593
3808.904,14.734,9.162,8.964
3809.780,14.021,9.637,9.255
3810.659,7.432,9.662,9.384
3811.536,8.046,9.392,9.648
3812.412,7.852,9.132,9.788
3813.292,5.591,8.842,9.727
3814.169,12.506,8.483,9.914
3815.048,8.514,8.506,9.663
3815.926,-0.160,8.318,9.368
3816.806,7.100,8.227,9.683
3817.684,5.548,8.408,9.580
3818.562,4.081,8.649,9.448
3819.443,4.836,8.879,9.044
3820.322,6.816,9.008,8.607
3821.202,8.613,8.485,8.458
3822.082,6.878,8.948,8.333
3822.963,4.357,9.840,8.154
3823.842,9.596,9.679,8.422
3824.724,12.180,10.098,8.431
3825.604,19.907,9.878,8.209
3826.484,8.718,10.170,8.251
3827.366,10.056,10.252,8.836
3828.247,17.408,9.843,10.713
3829.130,10.723,9.586,13.308
3830.011,0.640,9.553,15.655
3830.894,6.130,9.097,16.743
3831.775,8.134,8.934,16.199
3832.657,10.295,9.765,16.509
3833.540,21.780,13.193,15.949
3834.422,24.672,21.212,14.320
3835.307,44.786,33.242,12.435
3836.189,42.304,42.450,11.636
3837.073,45.453,46.880,11.835
3837.956,56.152,51.101,11.598
3838.839,51.271,53.994,10.549
3839.724,51.466,49.000,9.960
3840.608,26.866,34.843,10.395
3841.493,10.998,20.543,11.221
3842.377,8.338,12.922,10.954
3843.263,7.981,9.919,10.391
3844.147,13.647,8.606,10.610
3845.032,14.903,8.053,11.251
3845.918,11.541,7.795,11.487
3846.803,8.733,8.185,11.033
3847.690,9.269,8.692,10.009
3848.575,16.853,9.150,9.162
3849.463,9.683,9.732,9.009
3850.348,13.547,10.509,8.855
3851.234,15.164,11.047,8.835
3852.122,16.206,11.004,8.348
3853.008,6.230,11.063,7.817
3853.897,5.367,11.150,7.708
3854.783,13.884,10.855,8.210
3855.672,15.105,10.123,8.989
3856.559,14.337,9.536,9.080
3857.446,9.431,8.927,8.357
3858.336,2.346,8.466,7.286
3859.223,10.100,8.151,6.708
3860.113,8.965,7.957,6.498
3861.001,9.173,7.928,6.834
3861.892,8.983,8.189,7.416
3862.780,7.506,9.018,7.821
3863.669,8.428,9.849,7.907
3864.560,11.444,10.366,7.694
3865.449,13.572,10.817,7.358
3866.340,13.181,11.380,7.364
3867.230,5.076,11.462,7.351
3868.121,17.065,11.449,7.264
3869.011,8.950,11.352,6.979
3869.901,6.750,10.917,6.696
3870.794,12.831,10.629,6.318
3871.684,13.610,11.021,5.877
3872.577,9.353,11.210,5.668
3873.468,9.355,10.932,5.729
3874.361,15.958,11.120,5.920
3875.252,2.300,11.097,6.485
3876.144,17.348,10.712,6.963
3877.038,15.393,10.609,6.923
3877.930,14.725,10.561,6.304
3878.824,11.878,9.417,5.745
3879.716,11.281,9.200,5.372
3880.611,10.856,9.366,5.120
3881.504,6.494,9.216,5.035
3882.396,9.650,9.121,5.235
3883.292,10.465,9.549,5.619
3884.185,10.443,9.565,6.241
3885.081,17.587,9.838,6.763
3885.975,10.875,10.330,6.689
3886.871,10.655,10.869,6.526
3887.765,14.974,11.429,6.853
3888.659,13.886,11.827,7.942
3889.556,11.495,11.892,9.197
3890.451,12.950,12.263,9.312
3891.348,12.025,12.850,8.290
3892.243,12.017,13.218,6.802
3893.141,15.761,13.169,5.881
3894.036,19.611,13.176,5.985
3894.934,21.186,13.846,6.519
3895.830,19.561,13.535,6.972
3896.726,17.003,13.224,7.179
3897.625,12.862,13.144,7.003
3898.522,9.880,12.670,6.818
3899.421,14.743,12.620,7.052
3900.318,23.056,12.081,7.374
3901.217,22.135,12.226,8.205
3902.115,16.774,12.351,8.956
3903.012,17.707,11.845,8.696
3903.912,10.275,11.231,8.794
3904.810,11.454,11.237,9.804
3905.711,15.365,10.491,11.099
3906.609,10.364,10.224,12.505
3907.510,5.839,9.559,13.723
3908.409,5.654,8.784,14.529
3909.308,-0.943,9.089,14.870
3910.210,9.398,9.395,14.642
3911.109,10.546,9.190,13.866
3912.011,12.741,8.838,13.504
3912.911,6.298,8.993,14.208
3913.813,7.139,9.728,15.190
3914.714,10.160,10.590,14.634
3915.614,8.505,11.279,12.601
3916.517,11.849,11.683,10.487
3917.418,13.550,11.970,9.840
3918.322,9.858,12.091,10.539
3919.223,8.914,12.353,9.863
3920.127,9.855,12.889,8.550
3921.029,18.738,12.895,7.710
3921.931,12.196,13.507,7.192
3922.835,11.533,13.966,7.085
3923.737,15.515,13.875,7.219
3924.642,15.822,13.383,7.403
3925.545,20.761,12.932,7.501
3926.450,11.552,12.839,7.277
3927.354,10.736,12.477,7.069
3928.257,11.788,12.388,6.892
3929.163,12.156,12.468,6.624
3930.067,11.889,12.584,6.129
3930.973,10.445,12.652,5.878
3931.877,17.312,12.331,5.797
3932.784,16.701,12.254,5.864
3933.689,9.343,11.648,6.036
3934.594,13.879,11.512,6.043
3935.501,14.022,12.072,5.873
3936.406,13.879,12.295,5.676
3937.314,11.248,11.788,5.400
3938.220,10.558,11.498,5.556
3939.128,19.938,11.342,6.606
3940.034,16.556,11.030,8.180
3940.941,9.886,10.572,9.513
3941.849,10.920,10.342,10.095
3942.756,14.079,10.594,10.027
3943.665,12.913,10.035,9.908
3944.573,8.020,9.621,9.639
3945.482,10.798,8.895,9.526
3946.390,12.180,8.178,9.547
3947.298,7.329,8.531,9.774
3948.208,8.482,9.392,9.711
3949.116,14.316,9.396,9.191
3950.027,10.197,8.716,8.558
3950.936,7.006,8.099,8.404
3951.847,12.598,8.049,8.693
3952.756,7.860,8.538,8.945
3953.665,2.465,9.121,8.895
3954.577,3.122,9.771,8.774
3955.487,5.160,10.359,8.311
3956.399,11.267,11.283,7.999
3957.309,14.464,12.158,7.524
3958.221,13.111,12.241,7.118
3959.132,13.204,12.162,7.015
3960.045,14.867,12.755,7.092
3960.956,13.262,12.711,7.127
3961.867,12.496,12.911,7.020
3962.781,17.687,13.272,6.639
3963.692,12.036,12.902,6.208
3964.606,10.368,12.953,5.932
3965.518,9.013,13.249,5.736
3966.433,14.296,13.858,5.597
3967.345,15.292,13.745,5.344
3968.258,16.207,13.215,4.872
3969.173,16.977,13.387,4.221
3970.086,13.316,13.508,3.655
3971.002,13.366,13.199,3.552
3971.915,16.920,12.974,4.111
3972.831,14.405,12.825,5.005
3973.745,9.414,12.772,6.064
3974.659,13.800,12.840,7.097
3975.576,20.536,12.713,7.792
3976.490,15.860,13.267,8.112
3977.407,14.374,13.652,8.184
3978.322,16.395,13.818,8.211
3979.240,12.174,13.960,8.553
3980.155,13.345,14.196,8.951
3981.071,12.208,14.817,9.138
3981.989,23.766,15.905,8.822
3982.905,15.257,16.664,8.906
3983.823,15.757,16.519,8.792
3984.740,15.044,15.377,8.429
3985.659,16.306,13.862,7.850
3986.576,16.858,13.124,7.471
3987.493,14.557,12.362,7.589
