ID,ID_DR1,RA,DEC,u_aper_3,J0378_aper_3,J0395_aper_3,J0410_aper_3,J0430_aper_3,g_aper_3,J0515_aper_3,r_aper_3,J0660_aper_3,i_aper_3,J0861_aper_3,z_aper_3,e_u_aper_3,e_J0378_aper_3,e_J0395_aper_3,e_J0410_aper_3,e_J0430_aper_3,e_g_aper_3,e_J0515_aper_3,e_r_aper_3,e_J0660_aper_3,e_i_aper_3,e_J0861_aper_3,e_z_aper_3,SEX_FLAGS_u,SEX_FLAGS_J0378,SEX_FLAGS_J0395,SEX_FLAGS_J0410,SEX_FLAGS_J0430,SEX_FLAGS_g,SEX_FLAGS_J0515,SEX_FLAGS_r,SEX_FLAGS_J0660,SEX_FLAGS_i,SEX_FLAGS_J0861,SEX_FLAGS_z,zml,odds
iDR4_3_STRIPE82-0073_0011797,SPLUS.STRIPE82-0073.08264.griz,51.409848615613164,-1.030173921067484,20.403944,19.943937,19.908535,19.653507,19.316114,19.188086,18.933308,18.515003,18.435844,18.156784,17.99891,17.917828,0.06425557,0.068811394,0.09611419,0.073767975,0.05483402,0.02087266,0.036816433,0.014106299,0.015856009,0.013276707,0.024285989,0.0173032,3,3,3,3,3,3,3,3,3,3,3,3,0.025,0.99253684
iDR4_3_STRIPE82-0073_0039893,SPLUS.STRIPE82-0073.22242.griz,51.31772056272655,-0.4090053132530125,19.764612,19.064596,19.169403,18.639713,18.127634,17.512848,17.142626,16.521978,16.34915,15.934047,15.655785,15.558397,0.04764287,0.044755906,0.059922725,0.0370782,0.026043499,0.008120738,0.013103564,0.0046539255,0.004939146,0.0035803386,0.0067245113,0.0036824422,2,2,2,2,2,2,2,2,2,2,2,2,0.035,0.9942637
iDR4_3_STRIPE82-0065_0035625,SPLUS.STRIPE82-0065.17131.griz,45.96018311222881,-0.20440927514360968,20.247591,19.715872,19.470695,19.18866,18.855822,18.435987,18.113188,17.58328,17.472483,17.137787,16.865414,16.836376,0.062185876,0.06400516,0.07480055,0.05374807,0.040589787,0.016327655,0.02175533,0.009985609,0.0087052835,0.0070448224,0.011184369,0.0082395915,0,0,0,0,0,0,0,0,0,0,0,0,0.031166667,0.9955521
iDR4_3_STRIPE82-0116_0005442,SPLUS.STRIPE82-0116.04553.griz,319.91974782114994,0.12091657310005992,20.658936,19.895092,19.634146,19.338615,18.961521,18.428885,18.050442,17.406578,17.269436,16.81837,16.564232,16.443214,0.09510668,0.0875723,0.15348157,0.081769615,0.056570556,0.0139141595,0.023473868,0.0078007,0.008436722,0.006321947,0.009846207,0.0069993036,2,2,2,2,2,2,2,2,2,2,2,2,0.036666665,0.99444187
iDR4_3_STRIPE82-0074_0009433,SPLUS.STRIPE82-0074.08122.griz,50.696713471161,0.14944045148719903,20.672977,20.048124,20.07993,19.43061,19.06422,18.527475,18.17596,17.531694,17.378845,16.997503,16.800167,16.683466,0.041181937,0.04113917,0.0643501,0.033318393,0.02326955,0.0063121207,0.011248988,0.0036042463,0.0039858855,0.0030529525,0.0053030225,0.0034885712,3,3,3,3,3,3,3,3,3,3,3,3,0.022333333,0.99603456
iDR4_3_STRIPE82-0072_0024325,SPLUS.STRIPE82-0072.14472.griz,49.92934767645183,0.565332637427566,18.578915,18.068708,18.010733,17.860956,17.712048,17.588755,17.365562,16.97279,17.068884,16.761742,16.653362,16.529095,0.020330805,0.022308555,0.030201588,0.023867521,0.020499928,0.008435919,0.0146707045,0.0057014385,0.0071516926,0.0054660896,0.009535041,0.006380551,0,0,0,0,0,0,0,0,0,0,0,0,0.020083332,0.9977137
iDR4_3_STRIPE82-0067_0011186,SPLUS.STRIPE82-0067.07407.griz,46.294175467397324,-1.0754229286517034,19.81378,19.410242,19.224352,19.042244,18.513386,17.87997,17.43919,16.858791,16.796192,16.408134,16.199205,16.122768,0.03841047,0.044660203,0.05537536,0.045815106,0.031562142,0.00956996,0.014818399,0.005364814,0.006159785,0.0047412533,0.00740253,0.005298831,3,3,3,3,3,3,3,3,3,3,3,3,0.059166666,0.9744264
iDR4_3_STRIPE82-0071_0009531,SPLUS.STRIPE82-0071.05453.griz,50.17886124634887,-1.1086109356180576,19.917738,19.409184,19.19638,18.942728,18.916866,18.508602,18.332155,17.731785,17.662361,17.35029,17.244402,17.127712,0.045935046,0.048404053,0.059317704,0.045993164,0.052221883,0.014100018,0.026082886,0.008915975,0.012289652,0.007851312,0.014279008,0.009651645,3,3,3,3,3,3,3,3,3,3,3,3,0.021416666,0.9976724
iDR4_3_STRIPE82-0071_0037955,SPLUS.STRIPE82-0071.22282.griz,50.13832526469342,-0.3400273604468456,19.382936,18.891077,18.514004,18.289005,18.155552,17.402973,17.176855,16.394356,16.32215,15.82605,15.653901,15.576139,0.040870063,0.035980985,0.03913025,0.030525498,0.033310454,0.0077398047,0.013500364,0.004381537,0.005947444,0.0033407118,0.005515277,0.0037050243,3,3,3,3,3,3,3,3,3,3,3,3,0.035916667,0.9935319
iDR4_3_STRIPE82-0061_0019913,SPLUS.STRIPE82-0061.14102.griz,42.279157664495386,-0.9021678980082243,21.257898,20.677097,20.31527,20.191517,20.137283,19.714577,19.535583,19.092056,19.02238,18.811531,18.745003,18.6387,0.12004858,0.12111831,0.12658903,0.101383284,0.092426464,0.027134076,0.0517012,0.018717445,0.021380547,0.019200291,0.038280606,0.026624786,3,3,3,3,3,3,3,3,3,3,3,3,0.021083333,0.9954613
