ID,RA,Dec,uJAVA_auto,g_auto,r_auto,i_auto,z_auto,F378_auto,F395_auto,F410_auto,F430_auto,F515_auto,F660_auto,F861_auto,euJAVA_auto,eg_auto,er_auto,ei_auto,ez_auto,eF378_auto,eF395_auto,eF410_auto,eF430_auto,eF515_auto,eF660_auto,eF861_auto
SPLUS.STRIPE82-0061.14102.griz,42.2792,-0.9021,17.94,16.86,16.32,16.08,15.93,17.8,17.44,17.19,17.08,16.69,16.26,15.94,0.04,0.02,0.02,0.02,0.02,0.05,0.05,0.04,0.03,0.02,0.02,0.02
SPLUS.STRIPE82-0065.17131.griz,45.9602,-0.2044,16.61,99.0,14.7,14.42,14.22,16.24,16.01,15.77,15.56,15.07,14.68,14.35,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
SPLUS.STRIPE82-0067.07407.griz,46.2942,-1.0754,17.73,16.03,15.17,14.79,14.51,17.38,17.17,17.03,16.52,15.69,15.05,14.53,0.03,0.02,0.02,0.02,0.02,0.04,0.04,0.03,0.02,0.02,0.02,0.02
SPLUS.STRIPE82-0071.05453.griz,50.1789,-1.1086,15.84,14.78,14.33,14.16,13.9,15.63,15.47,15.09,14.62,14.48,14.21,13.93,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
SPLUS.STRIPE82-0071.22282.griz,50.1383,-0.34,99.0,15.17,14.47,14.14,13.81,16.54,16.38,15.89,15.26,14.83,14.3,13.84,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
SPLUS.STRIPE82-0072.14472.griz,49.9293,0.5653,16.98,15.67,15.08,14.78,14.57,16.58,16.34,16.12,15.95,15.47,14.97,14.62,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
SPLUS.STRIPE82-0073.08264.griz,51.4098,-1.0302,17.22,16.18,15.61,15.42,15.29,16.95,16.87,16.55,16.43,15.99,15.56,15.32,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02
SPLUS.STRIPE82-0073.22242.griz,51.3177,-0.409,17.37,15.34,14.38,13.98,13.72,16.98,17.05,16.56,16.03,15.05,14.27,99.0,0.03,0.02,0.02,0.02,0.02,0.03,0.05,0.03,0.02,0.02,0.02,0.0
SPLUS.STRIPE82-0074.08122.griz,50.6968,0.1495,16.23,14.92,14.25,13.99,13.74,15.85,15.69,15.41,15.17,14.64,14.14,13.79,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
SPLUS.STRIPE82-0116.04553.griz,319.9198,0.121,17.89,16.16,15.32,14.93,14.6,17.39,17.15,16.84,16.47,15.87,15.2,14.69,0.04,0.02,0.02,0.02,0.02,0.03,0.06,0.03,0.02,0.02,0.02,0.02
