angDist_1,angDist_2,ID_1,RA,DEC,u_petro,e_u_petro,PhotoFlag_u,J0378_petro,e_J0378_petro,PhotoFlag_J0378,J0395_petro,e_J0395_petro,PhotoFlag_J0395,J0410_petro,e_J0410_petro,PhotoFlag_J0410,J0430_petro,e_J0430_petro,PhotoFlag_J0430,g_petro,e_g_petro,PhotoFlag_g,J0515_petro,e_J0515_petro,PhotoFlag_J0515,r_petro,e_r_petro,PhotoFlag_r,J0660_petro,e_J0660_petro,PhotoFlag_J0660,i_petro,e_i_petro,PhotoFlag_i,J0861_petro,e_J0861_petro,PhotoFlag_J0861,z_petro,e_z_petro,PhotoFlag_z,zml,zml_err,RAJ2000_1,DEJ2000_1,name,objid,phID,Cat,RAfdeg,DEfdeg,FUVexp,NUVexp,GLON,GLAT,tile,img,sv,r.fov,Obs,b,E(B-V),Sp?,chkf,FUVmag,e_FUVmag,NUVmag,e_NUVmag,FUV.a,e_FUV.a,NUV.a,e_NUV.a,FUV.4,e_FUV.4,NUV.4,e_NUV.4,FUV.6,e_FUV.6,NUV.6,e_NUV.6,Fafl,Nafl,Fexf,Nexf,Fflux,e_Fflux,Nflux,e_Nflux,FXpos,FYpos,NXpos,NYpos,Fima,Nima,Fr,Nr,nS/G,fS/G,nell,fell,nPA,e_nPA,fPA,e_fPA,Fnr,F3r,Nar,Narms,Nbrms,Far,Farms,Fbrms,w_NUV,w_FUV,Prob,Sep,Nerr,Ferr,Ierr,Nperr,Fperr,CV,G,N,primid,groupid,Gd,Nd,primidd,groupidd,grouptot,OName,Size,AllWISE,RAJ2000_2,DEJ2000_2,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID_2,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M
0.281511,0.590929,iDR3.STRIPE82-0001.031921,359.75030501088185,-0.48908231740621594,19.49250030517578,0.11689602583646774,2,19.26526641845703,0.11812371015548706,2,19.177799224853516,0.17050647735595703,2,19.412702560424805,0.1818380355834961,2,18.9160213470459,0.11093685775995255,2,18.59652328491211,0.04582517594099045,2,18.375713348388672,0.08728662878274918,2,17.865833282470703,0.025281302630901337,2,17.687313079833984,0.023720376193523407,2,17.534563064575195,0.02700905315577984,2,17.438980102539062,0.055489432066679,2,17.325450897216797,0.042214494198560715,2,0.114,0.01499,359.750302,-0.488918,GALEX J235900.0-002920,6376686001102784324,6376686001099636736,AIS,359.996419,-0.476009,112.0,112.0,95.476,-60.5348,50164,257,8,0.246447,1,3,0.0386,0,0,20.9854,0.2729,20.5181,0.2009,2.1654,0.2729,0.4381,0.2009,2.1024,0.2575,0.56,0.169,2.4216,0.3725,0.4216,0.2129,0,0,0,0,14.6508,3.68181,22.5294,4.16688,2519.52,1868.07,2519.76,1867.81,6.487,13.608,0.003,0.006,0.7871,0.9949,0.3645,0.183,-1.59,-3.3,-30.53,-30.52,6.96865988,1.84285998,3.5,0.001186,0.000754,3.5,0.00066,0.00054,93.0,114.6,0.912,0.54,0.91,1.0,1.21,0.35,0.15,C,0,1,6376686001102784512,6376686001102784324,0,1,6376686001102784512,6376686001102784324,6376686001102784324,N,0.0,J235900.06-002920.9,359.7502829,-0.4891573,0.0849,0.0802,137.4,14.838,14.566,10.818,8.286,16.8,16.02,15.346,0.034,0.062,0.142,0.266,0.144,0.159,0.174,100001351007976,0000,0,110n,AABB,-133,278,-542,288,0.364
0.209098,0.684609,iDR3.STRIPE82-0001.032364,359.438765403475,-0.49959662166524377,20.16624641418457,0.514410674571991,3,20.12070655822754,0.6153376698493958,3,20.175140380859375,1.014886498451233,3,19.61728286743164,0.5661933422088623,3,19.611875534057617,0.5396658778190613,3,18.201601028442383,0.0810045450925827,3,18.2242431640625,0.19373299181461334,3,17.57248306274414,0.04701828584074974,3,17.583080291748047,0.051903191953897476,3,17.222375869750977,0.05173173174262047,3,17.207725524902344,0.11476493626832962,3,17.422956466674805,0.11850036680698395,3,0.0935,0.021765,359.438819,-0.499414,GALEX J235745.3-002957,6376686002176526699,6376686002173378560,AIS,358.981884,-0.490085,267.0,267.0,94.8919,-60.4153,50164,289,9,0.457013,1,3,0.0406,0,0,21.0915,0.2217,20.9136,0.1402,2.2715,0.2217,0.8336,0.1402,2.6685,0.2569,0.8956,0.1259,2.2713,0.2243,0.8981,0.1726,0,0,0,0,13.2857,2.71266,15.6515,2.02046,827.59,1886.86,827.73,1886.59,12.58,8.067,0.005,0.003,0.6368,0.9063,0.1298,0.2776,-28.56,-25.57,24.99,25.05,11.7237997,4.01450014,3.5,0.000874,0.00076,4.17657,0.001029,0.000743,211.9,229.1,0.966,0.28,0.63,1.34,1.12,0.24,0.24,C,0,1,6376686002176526336,6376686002176526699,0,1,6376686002176526336,6376686002176526699,6376686002176526699,N,0.0,J235745.31-002958.6,359.4388191,-0.4996189,0.1045,0.0963,142.8,15.113,14.881,11.55,8.587,,,,0.04,0.077,0.234,,,,,100001351010539,0000,0,01nn,AABU,-282,325,222,332,
0.286432,1.253909,iDR3.STRIPE82-0001.033810,0.5410051740895802,-0.42930694042230405,20.17578887939453,0.21074320375919342,2,20.25951385498047,0.2831984758377075,2,19.941707611083984,0.3316382169723511,2,19.297927856445312,0.1657966822385788,2,19.073171615600586,0.12946906685829163,2,18.81424331665039,0.05635162070393562,2,18.468700408935547,0.09602157771587372,2,17.903301239013672,0.025729713961482048,2,17.854013442993164,0.027024932205677032,2,17.594696044921875,0.028670864179730415,2,17.451335906982422,0.05636628344655037,2,17.279918670654297,0.0406896136701107,2,0.0905,0.016291,0.541206,-0.429022,GALEX J000209.8-002544,6381013771209410786,6381013771208359936,AIS,1.019087,-0.502471,112.0,112.0,97.0046,-60.7961,50287,3009,94,0.483477,1,1,0.0312,0,0,,,21.6714,0.387,,,1.5914,0.387,,,1.8364,0.3838,,,1.5217,0.4804,0,0,0,16,,,7.78795,2.77499,,,3061.22,2055.53,,9.216,,0.004,0.9807,0.0,0.5129,,-83.69,-84.06,,,9.21632957,0.466719002,4.10112,0.000919,0.000448,,,,101.1,112.4,,,1.4,,,0.52,,C,0,1,6381013771209410560,6381013771209410786,0,1,6381013771209410560,6381013771209410786,6381013771209410786,N,0.0,J000209.85-002545.6,0.5410787,-0.4293374,0.093,0.0862,126.8,14.956,14.833,12.16,8.579,16.33,15.674,15.654,0.036,0.074,0.389,,0.114,0.139,0.232,100001351024011,0000,0,00nn,AACU,-292,280,157,276,0.337
0.293241,0.523866,iDR3.STRIPE82-0001.034164,359.6892692468616,-0.4238725108269279,18.316139221191406,0.04081974923610687,0,18.13035774230957,0.0426584854722023,0,18.180997848510742,0.06930308043956757,0,17.70734977722168,0.04008270800113678,0,17.58972930908203,0.034644730389118195,0,17.39763069152832,0.016343606635928154,0,17.30385398864746,0.03443319723010063,0,17.13386344909668,0.013542557135224342,0,17.10655403137207,0.014568444341421127,0,16.90894889831543,0.015954792499542236,0,16.928325653076172,0.03607894852757454,0,16.852359771728516,0.028340112417936325,0,0.0945,0.101095,359.689214,-0.423738,GALEX J235845.4-002525,6376686001102784586,6376686001099636736,AIS,359.996419,-0.476009,112.0,112.0,95.4172,-60.4503,50164,257,8,0.311611,1,3,0.0381,0,0,19.1156,0.1078,18.7609,0.0669,0.2956,0.1078,-1.3191,0.0669,0.3879,0.1135,-1.1608,0.0687,0.2703,0.1086,-1.326,0.0678,0,0,0,0,81.992,8.13836,113.669,6.99841,2666.37,2024.2,2666.37,2024.24,9.129,5.137,0.004,0.002,0.9793,0.9836,0.0801,0.2343,34.27,30.76,9.64,9.64,4.19075012,2.81915998,3.5,0.001038,0.000955,3.5,0.000917,0.000702,95.6,120.6,0.939,0.15,0.52,0.67,0.51,0.12,0.06,C,0,1,6376686001102784512,6376686001102784586,0,1,6376686001102784512,6376686001102784586,6376686001102784586,N,0.0,J235845.43-002526.2,359.6893048,-0.4239458,0.0721,0.0693,119.6,14.604,14.281,10.65,8.314,16.456,15.856,15.61,0.03,0.052,0.106,0.356,0.121,0.17,0.191,100001351015830,0000,0,000n,AAAB,141,242,87,235,0.939
0.297215,0.631854,iDR3.STRIPE82-0001.034451,359.7032259041852,-0.41251343888672554,18.36037254333496,0.058740753680467606,0,18.291013717651367,0.06840436905622482,0,18.567977905273438,0.13743837177753448,0,18.201452255249023,0.08667965233325958,0,17.984477996826172,0.06823047995567322,0,17.49924087524414,0.024358583614230156,0,17.34653091430664,0.04922976717352867,0,17.186824798583984,0.019382135942578316,0,17.058706283569336,0.018985526636242867,0,16.832006454467773,0.02063314989209175,0,16.78931999206543,0.04450449347496033,0,16.720752716064453,0.035293836146593094,0,0.091,0.012572,359.703324,-0.412368,GALEX J235848.7-002444,6376686001102784630,6376686001099636736,AIS,359.996419,-0.476009,112.0,112.0,95.4528,-60.4457,50164,257,8,0.299917,1,3,0.0354,0,0,19.4029,0.1248,19.1846,0.0864,0.5829,0.1248,-0.8954,0.0864,0.6415,0.1282,-0.6666,0.0884,0.5803,0.1278,-0.8951,0.0861,0,0,0,0,62.9293,7.23411,76.9389,6.1202,2632.8,2051.8,2632.51,2051.53,11.434,15.294,0.005,0.006,0.7342,0.9456,0.2688,0.1541,81.68,76.38,45.12,45.12,10.4202003,2.94556999,3.5,0.001243,0.000909,3.5,0.000864,0.000731,96.5,117.8,0.361,0.78,0.57,0.69,0.56,0.17,0.07,C,0,1,6376686001102784512,6376686001102784630,0,1,6376686001102784512,6376686001102784630,6376686001102784630,N,0.0,J235848.77-002445.3,359.7032422,-0.4125944,0.0693,0.0661,138.5,14.533,14.147,10.111,8.091,,,,0.03,0.046,0.069,0.24,,,,100001351015824,0000,0,001n,AAAB,-198,257,230,244,
0.158797,1.127629,iDR3.STRIPE82-0001.034636,0.03259372244614366,-0.04055449581101177,16.904338836669922,0.026818538084626198,2,16.43480110168457,0.021797673776745796,2,16.277870178222656,0.029473522678017616,2,15.967485427856445,0.02076144330203533,2,15.743896484375,0.01632159762084484,2,15.557985305786133,0.007708736229687929,2,15.337078094482422,0.014580140821635723,2,15.022132873535156,0.005003832280635834,2,15.014370918273926,0.005476055666804314,2,14.780719757080078,0.005783290136605501,2,14.664316177368164,0.011446643620729446,2,14.605506896972656,0.00911654718220234,2,0.026000000000000002,0.014218999999999999,0.032878,-0.040422,GALEX J000007.8-000225,6376686001102785801,6376686001099636736,AIS,359.996419,-0.476009,112.0,112.0,96.3659,-60.2388,50164,257,8,0.43711,1,3,0.033,0,0,17.8452,0.0627,17.4538,0.0371,-0.9748,0.0627,-2.6263,0.0371,-0.2438,0.0936,-1.8342,0.0535,-0.8221,0.0681,-2.3913,0.0397,0,17,0,0,264.198,15.2585,378.87799,12.9532,1842.09,2944.43,1841.59,2944.23,14.638,7.835,0.006,0.003,0.0284,0.0176,0.1362,0.1601,-60.63,-52.97,60.05,60.05,15.1265001,7.52083015,3.5,0.001938,0.001674,3.54386,0.001683,0.001413,91.4,110.0,0.168,1.01,0.52,0.69,0.53,0.12,0.07,C,0,1,6376686001102785536,6376686001102785801,0,1,6376686001102785536,6376686001102785801,6376686001102785801,N,0.0,J000007.83-000225.9,0.0326329,-0.0405343,0.0442,0.0434,111.2,12.804,12.761,9.216,7.118,15.076,14.477,14.064,0.025,0.027,0.035,0.099,0.117,0.127,0.109,100001351032064,d000,5,0110,AAAA,0,62,0,62,0.253
0.344823,0.852562,iDR3.STRIPE82-0001.034887,0.4042917385126369,-0.10464538201166684,20.789175033569336,0.6453797221183777,2,21.260168075561523,1.2415740489959717,2,99.0,20.752626419067383,2,19.69782066345215,0.4096167981624603,2,18.925495147705078,0.19320125877857208,2,19.041622161865234,0.11780247092247009,2,18.669050216674805,0.19613653421401978,2,17.83796501159668,0.04150421544909477,2,17.611766815185547,0.037002116441726685,2,17.230405807495117,0.035433925688266754,2,17.007394790649414,0.06471598148345947,2,17.095556259155273,0.059344399720430374,2,0.2605,0.025501,0.404449,-0.104823,GALEX J000137.0-000617,6381013764766957816,6381013764765908992,AIS,0.5092,0.363685,112.0,112.0,97.0049,-60.4442,50287,2817,88,0.480075,1,1,0.0342,0,0,,,21.7821,0.4293,,,1.7021,0.4293,,,1.9534,0.4097,,,1.6071,0.524,0,1,0,0,,,7.03316,2.78029,,,2172.34,769.57,,8.856,,0.004,0.9784,0.0,0.2884,,15.13,14.39,,,4.13917017,4.97315979,4.31777,0.000731,0.00052,,,,98.6,80.9,,,1.55,,,0.57,,C,0,1,6381013764766957568,6381013764766957816,0,1,6381013764766957568,6381013764766957816,6381013764766957816,N,0.0,J000137.00-000616.8,0.4042047,-0.1046854,0.0727,0.0689,138.8,14.488,14.083,11.39,8.937,,,,0.031,0.047,0.2,,,,,100001351029648,0000,0,00nn,AABU,292,194,206,197,
0.126396,0.760581,iDR3.STRIPE82-0001.037671,359.7925902772656,-0.2935380368420628,19.73549461364746,0.12922103703022003,0,19.455293655395508,0.12445758283138275,0,19.47882652282715,0.19868016242980957,0,19.0753173828125,0.1195916011929512,0,19.086393356323242,0.11572262644767761,0,18.71586036682129,0.045719828456640244,0,18.36696434020996,0.07759948819875717,0,17.907758712768555,0.02353638783097267,0,17.807825088500977,0.02369558997452259,0,17.455320358276367,0.022763680666685104,0,17.202659606933594,0.0403968021273613,0,17.176849365234375,0.033197540789842606,0,0.08,0.017121,359.792697,-0.29372,GALEX J235910.2-001737,6376686001102785101,6376686001099636736,AIS,359.996419,-0.476009,112.0,112.0,95.7162,-60.374,50164,257,8,0.273368,1,3,0.0337,0,0,21.8219,0.4096,21.2094,0.3168,3.0019,0.4096,1.1294,0.3168,2.9173,0.399,1.3793,0.2831,3.2221,0.6261,1.0949,0.3561,0,0,0,0,6.78002,2.55696,11.9191,3.4764,2418.84,2336.96,2418.02,2336.3,7.335,5.047,0.003,0.002,0.9807,0.9967,0.1377,0.4049,20.59,22.15,-43.95,-43.94,9.03153992,3.14381003,4.86938,0.000677,0.000584,3.5,0.000663,0.000395,93.7,116.4,0.492,1.75,1.0,1.49,1.5,0.38,0.27,C,0,1,6376686001102785536,6376686001102785101,0,1,6376686001102785536,6376686001102785101,6376686001102785101,N,0.0,J235910.22-001736.8,359.7926124,-0.2935653,0.0615,0.059,131.5,14.244,13.911,9.949,7.633,16.241,15.442,14.79,0.028,0.04,0.058,0.165,0.101,0.095,0.088,100001351015817,0000,0,011n,AAAB,60,260,92,231,0.317
0.180759,1.015064,iDR3.STRIPE82-0001.038362,0.37597280856866944,-0.24619569888125387,18.786273956298828,0.07758832722902298,2,18.757719039916992,0.09383702278137207,2,18.84205436706543,0.15840144455432892,2,18.382259368896484,0.09175077825784683,2,18.356557846069336,0.08587378263473511,2,17.624624252319336,0.02457563951611519,2,17.396142959594727,0.046385761350393295,2,16.893766403198242,0.013547376729547977,2,16.778398513793945,0.013482715934515,2,16.53195571899414,0.014180291444063187,2,16.351913452148438,0.026727423071861267,2,16.324071884155273,0.02192009426653385,2,0.096,0.01705,0.37624,-0.246105,GALEX J000130.2-001445,6376686001102785277,6376686001099636736,AIS,359.996419,-0.476009,112.0,112.0,96.8402,-60.5633,50164,257,8,0.443975,1,3,0.0335,0,0,20.9237,0.2978,20.1989,0.1564,2.1037,0.2978,0.1189,0.1564,2.4323,0.3641,0.3388,0.1535,2.1427,0.3276,0.1586,0.1807,0,4,0,0,15.507,4.25165,30.2312,4.35395,1017.88,2449.54,1017.51,2450.57,9.247,8.121,0.004,0.003,0.461,0.9757,0.2076,0.4073,88.09,83.54,-77.26,-77.27,12.2945995,4.87629986,3.5,0.00096,0.000761,3.5,0.000923,0.000547,86.6,93.6,0.469,1.6,0.69,1.51,1.3,0.26,0.28,C,0,1,6376686001102785536,6376686001102785277,0,1,6376686001102785536,6376686001102785277,6376686001102785277,N,0.0,J000130.24-001446.3,0.3760175,-0.2462187,0.0469,0.0442,100.2,13.352,12.592,9.547,7.135,15.606,14.986,14.469,0.024,0.027,0.046,0.142,0.089,0.126,0.102,100001351021496,0000,0,0000,AAAB,102,77,-130,78,0.066
0.350364,0.6575,iDR3.STRIPE82-0001.038752,0.26120016460229006,-0.2571640859773284,19.434606552124023,0.14026911556720734,0,18.93758773803711,0.11094646900892258,0,18.979816436767578,0.18033447861671448,0,18.473569869995117,0.09805422276258469,0,18.04524803161621,0.0637911930680275,0,17.892053604125977,0.030676813796162605,0,17.551958084106445,0.052472230046987534,0,17.363862991333008,0.020360305905342102,0,17.30967903137207,0.021296383813023567,0,17.061532974243164,0.022402359172701836,0,16.878189086914062,0.04235510155558586,0,16.833602905273438,0.03430451080203056,0,0.079,0.01043,0.261364,-0.257084,GALEX J000102.7-001525,6376686001102785228,6376686001099636736,AIS,359.996419,-0.476009,112.0,112.0,96.6166,-60.5283,50164,257,8,0.343687,1,3,0.0344,0,0,20.7564,0.2556,19.9003,0.1314,1.9364,0.2556,-0.1797,0.1314,1.9092,0.2493,-0.027,0.1274,1.9631,0.281,-0.1926,0.1426,0,0,0,0,18.09,4.25836,39.7997,4.81712,1293.84,2423.99,1293.22,2424.22,5.349,6.374,0.002,0.003,0.9792,0.9946,0.2605,0.2745,-48.03,-46.39,-77.51,-77.51,7.43322992,3.02598,3.5,0.001002,0.000741,3.5,0.000763,0.000553,86.0,104.9,0.448,1.12,0.62,1.03,0.89,0.21,0.15,C,0,1,6376686001102785536,6376686001102785228,0,1,6376686001102785536,6376686001102785228,6376686001102785228,N,0.0,J000102.70-001525.6,0.2612858,-0.2571178,0.0757,0.0721,134.2,14.563,14.266,10.313,8.192,16.759,15.911,15.381,0.032,0.05,0.089,0.284,0.174,0.179,0.171,100001351021532,0000,0,000n,AAAB,-10,303,110,276,0.537
